instance_id,n,m,density,profit_type,alpha,greedy_profit,exact_profit,approximation_ratio,profit_gap,relative_profit_gap,greedy_feasible,exact_feasible,greedy_consistent,exact_consistent
4,8,3,sparse,correlated,0.3,3,4,0.75,1,0.25,True,True,True,True
5,8,3,sparse,correlated,0.3,6,12,0.5,6,0.5,True,True,True,True
1,8,3,sparse,correlated,0.8,16,20,0.8,4,0.2,True,True,True,True
2,8,3,sparse,correlated,0.8,24,43,0.5581395348837209,19,0.4418604651162791,True,True,True,True
3,8,3,sparse,correlated,0.8,30,51,0.5882352941176471,21,0.4117647058823529,True,True,True,True
4,8,3,sparse,correlated,0.8,20,31,0.6451612903225806,11,0.3548387096774194,True,True,True,True
5,8,3,sparse,correlated,0.8,20,37,0.5405405405405406,17,0.4594594594594595,True,True,True,True
1,8,3,sparse,anticorrelated,0.3,14,27,0.5185185185185185,13,0.48148148148148145,True,True,True,True
2,8,3,sparse,anticorrelated,0.3,42,69,0.6086956521739131,27,0.391304347826087,True,True,True,True
3,8,3,sparse,anticorrelated,0.3,22,42,0.5238095238095238,20,0.47619047619047616,True,True,True,True
4,8,3,sparse,anticorrelated,0.3,45,60,0.75,15,0.25,True,True,True,True
5,8,3,sparse,anticorrelated,0.3,60,98,0.6122448979591837,38,0.3877551020408163,True,True,True,True
1,8,3,sparse,anticorrelated,0.8,52,105,0.49523809523809526,53,0.5047619047619047,True,True,True,True
2,8,3,sparse,anticorrelated,0.8,112,196,0.5714285714285714,84,0.42857142857142855,True,True,True,True
3,8,3,sparse,anticorrelated,0.8,80,126,0.6349206349206349,46,0.36507936507936506,True,True,True,True
4,8,3,sparse,anticorrelated,0.8,120,153,0.7843137254901961,33,0.21568627450980393,True,True,True,True
5,8,3,sparse,anticorrelated,0.8,160,267,0.599250936329588,107,0.40074906367041196,True,True,True,True
1,9,1,dense,random,0.3,390,390,1.0,0,0.0,True,True,True,True
2,9,1,dense,random,0.3,176,186,0.946236559139785,10,0.053763440860215055,True,True,True,True
3,9,1,dense,random,0.3,658,658,1.0,0,0.0,True,True,True,True
4,9,1,dense,random,0.3,492,492,1.0,0,0.0,True,True,True,True
